Film Adı,Türler,Özet
Ejderha Dövmeli Kız,"Dram, Gerilim, Suç, Gizem","Mikael Blomkvist, dürüst bir gazeteci olmasına rağmen, bir tuzağa düşürülmüş ve yanlış bir haberle ünlü bir işadamını suçlamıştır. Bunun üzerine Mikael'in tüm kariyeri tersine döner. Gazetesi artık onunla çalışmak istememektedir. Tüm medya peşindedir ve yalnızdır. Elbette onu izleyen Lisbeth'in farkında da değildir; nam-ı diğer ""Ejderha Dövmeli Kız""ın...  Mikael, gazetecilik mesleğini bırakıp hapise girmek için gün sayarken, hiç beklemediği bir iş ayaklarına gelir. Ünlü Vanger şirketinin başındaki Henrik Vanger, Mikael'den yıllar önce kaybolan yeğeni Harriet'i bulmasını istemektedir. Aslında amcaya göre, Harriet öldürülmüştür ama cesedi hiç bir yerde bulunmamıştır. Güçlü bir aile olan Vanger'lerin nüfuzlarını kullanarak yaptıkları aramalar boşa çıkmıştır. Mikael'den isteği, Harriet'in katilini bulmasıdır. Mikael Blomkvist ve onun bilgisayar hacker'ı olan takipçisi Lisbeth Salander olayı aydınlatmak adına karanlık sırları ortaya çıkaracaklardır."
The Princess Switch,"Romantik, Komedi","Ayakları yere basan Şikagolu bir fırıncı ve müstakbel bir prenses, birbirlerine tıpatıp benzediklerini fark ettiğinde yer değiştirmek için Noel'e yakışır bir plan yapar."
Hayvan,Komedi,"Delil dosyalarından sorumlu polis memuru olarak çalışan Marvin, babası gibi hızlı bir polis memuru olmanın hayalini kurmaktadır. Bir gece ofiste tek başınayken acil bir ilk yardım çağrısına yanıt vermesiyle birlikte tüm hayatı bir anda değişir. Hızla olay yerine doğru yol alan Marvin ölümcül bir kaza geçirir. Onu kurtaransa bir gölgedir. Bu gölgenin adı Dr. Wilder'dır ve o yeni bir deney için Marvin'i seçmiştir. Wilder özel laboratuvarında Marvin'in genetik kodunu çözer ve çeşitli hayvanların organlarını kullanarak onu tedavi eder. İyileştikten sonra normal yaşamına devam eden Marvin'in ise Wilder'in laboratuvarında geçirdiği günlerle ilgili en ufak bir anısı bile olmayacaktır."
Kor,"Bilim-Kurgu, Macera, Gerilim","Dünyanın çeşitli yerlerinde sebebi açıklanamayan felaketler meydana gelmesi üzerine General Thomas Purcell, jeofizikçi Dr. Josh Keyes ile Fransız nükleer fizikçi Dr. Serge Leveque'i acilen Washington'a çağırarak bu trajedilerin arkasındaki sırrı çözmekte gecikmez. Ortada bir savaş tehdidinden çok daha kötü bir gelişme vardır: Dünyanın merkezindeki çekirdeğin dönüşü durmuştur. Güneşten gelen ölümcül radyasyon etkisine karşı koruyucu kalkan işlevini gören elektromanyetik alanın bozulması sonuçlarının korkunç olacağı açıktır. Bu problemin hemen çözülmemesi halinde uçaklar yere çakılacak, elektronik araçların devreden çıkmasıyla eşi görülmedik bir kargaşa yaşanacaktır.  Atmosferdeki değişimler sonucunda yüzlerce şimşeğin aynı anda çakmasıyla ""süper fırtınalar"" oluşacak; hepsinden öldürücü olanı ise, mikrodalga radrasyon etkisiyle dünyamızın kavrularak yanması olacaktır..."
Yok Ya!,"Dram, Komedi, Romantik","İlk görüşte aşk başka şeye benzemez; öyle değil mi? Genç mizah yazarı Jerry Falk (Jason Biggs), özgür ruhlu ve zor bir genç kız olan Amanda’ya (Christina Ricci) aşık olur. Ama ilişkilerinin yürümesi için tahmin ettiğinden çok daha fazla çaba sarf etmesi gerektiğini kısa sürede keşfedecektir. Üstelik 60 yaşında mizah yazarı olmaya kalkan akıl hocası David (Woody Allen) ve Amanda’nın gürültücü annesi Paula ( Stockard Channing) işini hiç de kolaylaştırmayacaktır."
Ay'da İlk İnsan,"Tarih, Dram","Armstrong'un perspektifinden duygusal ve samimi bir anlatımla James R. Hansen'ın kitabından uyarlanan film, bir yandan astronot Neil Armstrong'u ve Apollo 11 uçuşunu odağına alarak Ay’a yapılan insanlı ilk yolculuğun arkasındaki hikâyeyi ele alırken; bir yandan da tarihin en tehlikeli görevlerinden biri için hem Armstrong, hem de ailesi ve meslektaşları tarafından yapılan fedakârlıkları ve ödedikleri bedelleri konu ediniyor."
Sokak Dansı 4: İsyan,"Müzik, Dram, Romantik",Emily profesyonel bir dansçı olma hayalleriyle Miami'ye gelir. Dans takımının lideri olan Sean'dan hoşlanmaya başlar. Ancak Emily'nin babasının inşaat planları Sean'ın yaşadığı bölgeyi tehdit altında bırakır. Çatışan duygular arasında kalan kardeşlerin ve arkadaşların hikâyesi...
Gizli Gerçek,"Dram, Korku, Gizem, Gerilim","Claire Spencer sesler duymaya ve ürkütücü görüntüler görmeye başladığında, dünya dışı bir ruhun onunla iletişim kurmaya çalıştığını düşünür. Bu sırada, kocası ona gördüğü her şeyin kafasında olduğunu söyleyerek güven vermeye çalışır. Ancak Claire araştırdıkça, sevdiği adamın bu konu hakkında düşündüğünden çok daha fazlasını bilebileceğini keşfeder."
The Bench,Korku,
Lego Filmi 2,"Aksiyon, Macera, Animasyon, Komedi, Aile","Her şeyin muhteşem olduğu günlerin üzerinden beş yıl geçmiştir ve şimdi şehir sakinleri yepyeni bir tehditle karşı karşıyadırlar. Uzaydan gelen LEGO DUPLO istilacıları her şeyi yeniden inşa edilebileceklerinden daha hızlı bir şekilde paramparça etmektedirler. İstilacıları yenme ve LEGO evrenine uyumu geri getirme sorumluluğu Emmet, Lucy, Batman ve dostlarını çok uzak, keşfedilmemiş dünyalara, hatta her şeyin müzikal olduğu tuhaf bir galaksiye bile götürecektir. Bu görev onların cesaretini, yaratıcılığını, Usta Yapıcılık becerilerini sınayacak ve gerçekten ne kadar özel olduklarını ortaya çıkaracaktır."
Deseo,Dram,
Kehanet,"Korku, Gerilim","O, altıncı ayın, altıncı gününde sabah saat altıda doğdu. Şeytanın oğlu aramızda.  Çocuklarının ölü doğduğunu karısı Katherine'e (Lee Remick) söyleyemeyen Amerikalı diplomat Pobert (Gregory Peck) yeni bir doğmuş bebeği evlat edinir. Damien büyürken sıradan bir çocuk olmadığı kısa sürede anlaşılır. Esrarengiz ölümler ve garip uyarılar olunca, Robert Thorn çocuğun masum yüzünün arkasında saklı kötülüğün farkına varır..."
Doktor Jivago,"Dram, Romantik, Savaş",1917 Sovyet Devrimi öncesi ve sonrasını yaşayan bir burjuva aydını Dr. Jivago'nun öyküsü. Devrimle birlikte inandığı tüm değerler silinip yerine yeni sistemin gelişi Dr. Yuri Jivago'nun hayatını alt üst eder. Savaşın acımasızlığını yaşayan Dr. bir yandan da iki kadın arasında kalır.
탈옥정사,,
Monster High Filmi,"Aile, Fantastik, Komedi, Macera","Yarı insan yarı kurt adam olan Clawdeen Wolf, son zamanlarda her tür canavarın olduğu bir okul olan Monster High'a gitmeye başladı. Sınıf arkadaşları Frankie Stein ve Draculaura ile kısa sürede arkadaş olduktan sonra, Clawdeen sonunda gerçekten kendisi olabileceği bir yer bulduğunu hissediyor ya da öyle düşünüyor. Yakında, Monster High'ı yok etmeye yönelik sinsi bir plan, onun gerçek kimliğini ortaya çıkarmakla tehdit eder ve Clawdeen, çok geç olmadan gerçek canavar kalbini kucaklamayı öğrenmelidir."
Booksmart,Komedi,"Molly ve Amy, akademik olarak başarılı iki genç kızdır. Liseden mezun olmalarına kısa bir zaman kala Molly ve Amy çok fazla ders çalıştıklarını fark ederler. Gençliklerini çalışarak geçiren ikili, daha fazla eğlenmeleri gerektiği kararına varırlar. Onlarla aynı yaşta olan diğer gençlerden geri kalmamak için ise dört yıllık eğlencelerini bir yıla sığdırmaya çalışacaklardır."
Jack'in Yaptığı Ev,"Dram, Korku, Suç, Gerilim","1970’lerde geçen film, 12 yıl boyunca bir seri katili izliyor ve işlenen korkunç cinayetleri katilin kendi gözünden perdeye yansıtıyor."
Hellraiser,"Korku, Gerilim, Fantastik","Kirsty üvey annesi Julia ve babası Larry ile büyük yeni bir eve taşınmaktadırlar. Kirsty başta karşı çıksa da evi görünce hoşuna gitmiştir. Julia'nın, Larry'nin kardeşi Frank ile bir ilişkisi vardır ve uzun zamandır Frank'ten haber alamamıştır heryerde onu hayal etmektedir. Larry bir gün ev eşyalarını yerleştirirken elini incitmiştir çatı katında Julia'yı bulduğunda yere birkaç damla kan akmıştır oradan ayrıldıklarında ise Frank uğraştığı karabüyünün etkisinden kurtulmuş ve canlanmıştır. Buna sebep olan bir kutu Cehennemin kapılarını açıp Helllraiser'ı çağırmaktadır."
Songbird,"Bilim-Kurgu, Gerilim","Korona salgınının patlak vermesinden iki yıl sonra virüs mutasyona uğrayıp daha ölümcül bir hale gelir. Salgını kontrol altında tutulabilmek için şehir ikiye bölünür. Enfekte olan ve olmayanların bir arada yaşamaya başladığı bu düzende kurye olan Nico’nun nadir bir dokunulmazlığı vardır. Ölümcül virüse karşı bağışıklığı olan Nico bu sayede iki dünyaya da giriş yapabilir. Ancak kız arkadaşı Sara evinde kalmak zorundadır ve Nico’nun onu görmesine izin verilmez. Bu sırada Sara’nın enfeksiyon kapmış olabileceği düşünüldüğünde Nico, çaresizce onu kurtarabilmenin yolunu arar."
Hawaii Tatili,"Animasyon, Aile, Komedi",Bonnie yarıyıl tatiline çıkıp Barbie'yle Ken'i geride bırakınca diğer oyuncaklar bir araya gelerek onlara mükemmel bir Hawaii kaçamağı ayarlarlar.
Kızları Öp,"Gerilim, Suç, Gizem, Dram",Dedektif ve adli psikolog Dr. Alex Cross yeğeninin birden ortadan kaybolması üzerine araştırmayı üstlenir. Yerel kanun güçlerinin tepkilerine aldırmadan kendi yöntemleriyle olayı araştırmaya başlayan Cross olayın tek kurbanının olmadığını ve altında aynı imza olan 7 kaybolma olayının olduğunu ortaya çıkartır. Bu takipte ona şüpheliyle karşılaşmış olan genç doktor Kate McTiernan yardımcı olur. Kaybolan kızı bulmak ve olayın arkasındaki gerçeği öğrenmek için zamana karşı bir yarış başlar.
Pokémon 3: Film,"Macera, Fantastik, Animasyon, Aksiyon, Aile","5 yaşındaki Molly'nin babası yaptığı çalışmalar sırasında ortadan kaybolur. Daha sonra evlerinde Unownlar ortaya çıkar. Unownlar ilk önce efsanevi pokemon Entei'yi yaratırlar. Molly, Entei'yi babası sanır. Çünkü babası, Molly'yle oynarken her zaman Entei'ymiş gibi yapardı. Ama hala ufak Molly üzgündür. Çünkü annesi yoktur. Bunun üzerine Entei, Ash'in annesi olan Delia Ketchum'ı kaçırır ve evlerine getirir. Ash ve arkadaşları Ash'in annesini kurtarmak için ellerinden geleni yapmak zorundadırlar..."
Tavşan Peter,"Animasyon, Macera, Aile","Yaramaz tavşan Peter ve arkadaşı, boş bir kır evini sahiplenmişlerdir. Eve yerleşen kahramanlar günlerini gün etmekte ve sakin bir hayat sürmektedir. Ancak bu durum, suratsız Bay McGregor'un ortaya çıkmasıyla değişir. İmha işi için gelmiş olan Bay McGregor ile sevimli kahramanlarımız arasında büyük bir çatışma başlar. Bu süreçte işin içine hayvan sever Bea de dahil olur..."
Chupa,"Macera, Fantastik, Aile","Genç Alex, ailesini ziyaret etmek için Meksika’ya gider. Burada büyükbabasının kulübesinde gizlenmiş genç efsanevi bir yaratık keşfeder. Kısa süre içerinde ikisi arasında beklenmedik bir arkadaşlık oluşur. Efsanevi yaratığı kurtarmak için Alex ve kuzenleri ömür boyu sürecek bir maceraya atılır."
Calculator,"Gerilim, Bilim-Kurgu, Aksiyon","XT-59 gezegenine sürgün olarak gönderilen 10 mahkum, gezegendeki tek güvenli bölgeye gidebilmek için sert iklim koşulları ve diğer tehditlerce öldürülmeden önce bataklıktan geçmek zorundadır."
Teksas Kasabı,"Komedi, Korku","Jenny, Sean, Barry ve Heather arabalarıyla yanlış bir yola saparlar. Daha sonra da yanlışlıkla bir arabaya çarparlar. Jenny hariç diğerlerinin hepsi cani bir ailenin üyeleri tarafından öldürülmüştür. Jenny ormanın içinde bir arabaya rastlar ve yardım ister.Ama arabanın sahibi Vilmer Sawyer, Jenny'e arkadaşlarının ölülerini gösterir.Çünkü arkadaşlarının katillerinden biride odur.Arabadan kaçan Jenny ormanın içine saklanır."
Şeytanla Anlaşma,"Fantastik, Korku, Macera, Aksiyon","İngiltere’nin yüksek prestijli Spencer Akademi’sinde öğrenim gören dört farklı genci ortak noktada buluşturan bir sır, işlenen bir öğrenci cinayeti sonrasında açığa çıkma tehdide uğrar. Kutsal bir soyla ve ortak atalarla birbirlerine bağlı olan dört genç atalarından gelen doğaüstü güçlere sahiptirler ve bu sırlar yıllar önce yapılan bir sessizlik anlaşmasıyla koruma altına alınmıştır. Ancak kötü niyetli bir ‘beşinci’nin ortaya çıktığında bu sırlar ifşa edilme tehdidiyle karşı karşıya kalır. Sevdiklerinin yaşamlarını tehlikeden uzaklaştırmak isteyen dörtlü tüm egolarından sıyrılıp güçlerini birleştirmeye çalışacak, böylece kendilerini hem kendi ekiplerinde hem de beşinciye karşı yapılacak savaşta amansız bir mücadele içerisinde bulacaklardır."
Dark Web: Cicada 3301,"Gerilim, Aksiyon, Komedi","Hacker olan Connor, gizli bir cemiyet için paravan olan bir hazine avını ortaya çıkarmaya çalışır. Bu süreçte sanat uzmanı arkadaşı Avi ve gizemli kütüphaneci Gwen’in yardımını alan Connor, onlarla birlikte peşine düşen NSA ajanlarından kaçarken dünyanın dört bir yanına dağılan ipuçlarını bulmaya çalışır."
Atlatma,Dram,"Gerçek olaylardan esinlenen bu kurgusal film, Newsnight programındaki kadınların Prens Andrew'la yapılan meşhur röportajı nasıl başardıklarını onların gözünden anlatıyor."
Kaçakların Peşinde,"Gerilim, Suç, Aksiyon",Çok tehlikeli bir suçlu olan Sheridan yakalandıktan sonra bindirildiği uçağın kazaya uğraması sonucu kaçmayı başarır. Tehlikeli bir kaçağın peşine takılacak tek isim ise polis şefi Samuel Gerard'dır. 1993'de Dr. Kimble'ı amansız bir takibe alan Gerard bu kez çok daha tehlikeli bir kaçak olan Sheridan'ın peşindedir...
Emeklilik Planı,"Aksiyon, Komedi, Suç","Ashley ve küçük kızı Sarah hayatlarını riske atan bir suç girişimine bulaştıklarında, yardım edebilecek tek kişi olan babasına ulaşmaya çalışır. Ashley'in ayrı yaşadığı babası Matt, Cayman Adaları'nda emekli bir plaj serserisinin hayatını yaşamaktadır. Onlar adaya gidip Matt ile buluşurken, suç patronu Donnie ve teğmen Bobo tarafından da takip edilir. Ashley, Sarah ve Matt giderek daha tehlikeli bir ağa karışırken, Ashley babasının hakkında hiçbir şey bilmediği gizli bir geçmişi olduğunu ve babasında göründüğünden daha fazlası olduğunu çabucak öğrenir."
熊出没·伴我“熊芯”,"Animasyon, Komedi, Bilim-Kurgu, Aile, Macera",
47 Metre Derinde: Kafes,Korku,"Birlikte tatil yapan dört genç kız, bu tatilin çok eğlenceli geçeceğinden çok emindir. Mükemmel tatilleri için planları ise harabe olmuş bir su altı şehrine dalış düzenleyerek derinlikleri keşfe çıkmaktır. Gençlerin farkında olmadığı şey ise dalışlarını su altı mağalarından oluşan klostrofobik bir labirentte geçirecekleri ve dünyadaki en tehlikeli köpek balığı türlerinin bölgesine girdikleridir. Mükemmel tatil planları hayat mücadelesine dönüşen gençler, sudan çıkmanın ve avcı köpek balıklarını atlatmanın bir yolunu bulmak zorundadır.."
彼女,"Dram, Romantik, Gerilim",Rei yıllardır âşık olduğu kadının şiddet uygulayan eşinden kurtulmasına yardım eder. Ardından birlikte kaçan bu iki kadın arasındaki duygular alevlenir.
Fullmetal Alchemist: The Final Alchemy,"Aksiyon, Macera, Fantastik","Elric kardeşlerin uzun ve dolambaçlı yolculuğu, dünya çapında olmayan, ülke çapında bir tehditle yüzleşmeleri gereken bu destansı finalde sona eriyor."
No Half Measures: Creating the Final Season of Breaking Bad,Belgesel,"Breaking Bad'in inanılmaz mirasının sona ermeden önce nasıl oluştuğunu kapsamlı ve ayrıntılı bir şekilde anlatan, son sezonunun çekimlerini samimi bir detayla belgeleyen bir belgesel."
Jackie Brown,"Suç, Dram, Gerilim","Amerika'nın en uyduruk havayollarından birinde hava hostesi olan Jackie Brown'ın emekliliği giderek yaklaşmaktadır. Hostesimiz ayın sonunu getirebilmek için silah kaçakçısı Ordell için çalışmaktadır. Polis durumdan haberdardır. Ordell de polisin haberdar olduğundan ve dolayısıyla Jackie'nin hayatının bıçak sırtında olduğundan.Olaylar ortaya çıktığuında Jackie ve Ordell cephelerine yeni yardımcılar katılır ve herkes yarım milyon doların peşine düşer.Yönetmen Tarantino, hayranı olduğu, 70'li yılların kült zenci dizisi ""Foxy Brown""ın kadın oyuncusu Palm Grier'e Jackie Brown rolünü vererek tam onikiden vuruyor."
Yaşıyorlar,"Bilim-Kurgu, Aksiyon","Yakın gelecek... İnsanlık büyük bir kaos içinde... Hayatını sürdürebilmek için yolu büyük şehre düşen John Nada adındaki kasabalı bir işçi, korkunç bir keşif yapar: Tüm Dünya, başka bir boyuttan gelen ve beyinleri kontrol edebilen insan formundaki uzaylılar tarafından istila edilmiştir! Bu korkunç istilayı önlemek için Nada'nın sahip olduğu silahlar, sadece bir makineli tüfek ve özel güneş gözlükleridir! Acaba Nada, uzaylıların yayın istasyonunu durdurabilecek ve onların gerçek kimliklerini ortaya çıkarabilecek mi?"
"스와핑, 그 위험한 섹스",Romantik,
Aeon Flux: Gelecek Flux’ta,"Bilim-Kurgu, Aksiyon, Gerilim","2415 yılında geçen filmde Aeon Flux, ailesi hükümet ajanları tarafından öldürülünce, intikam isteğiyle yanıp tutuşmaktadır. Duvarlarla çevrili Bregna kentinin diktatör liderlerine karşı yeraltı isyanı başlatan Aeon Flux’a, kentin tek kural koyucusu olan Trevor Goodchild’a suikast düzenleme görevi verilir. Ancak bir sınavdan geçmesi gerekmektedir."
